Vendor,Category,Item,Price,Origin
OmegaKing43,Drugs/Cannabis/Hash,Quality Tested Items 10ct,1.531094 BTC,UK
EliteShop410,Fraud/Documents,Counterfeit Quality Passport,3.53972 BTC,Germany
EliteMaster689,Drugs/Psychedelics/LSD,High-Dose Grade-A Tabs 2ct,3.050136 BTC,UK
AlphaKing463,Drugs/Cannabis/Edibles,Quality Tested Items 1ct,2.38152 BTC,France
SilentBoss239,Drugs/Psychedelics/LSD,Lab LSD Blotters 28ct,4.403558 BTC,Canada
ShadowVendor173,Drugs/Cannabis/Edibles,Quality Premium Items 28ct,1.55252 BTC,Belgium
CryptoLab868,Drugs/Prescription/Adderall,Tested Amphetamine Salts 25ct,0.269727 BTC,Australia
OmegaKing43,Drugs/Cannabis/Edibles,Premium Quantity 250g,2.865244 BTC,France
QuickKing639,Drugs/Prescription/Adderall,Lab Amphetamine Salts 28ct,8.064589 BTC,Europe
SwiftStore884,Drugs/Psychedelics/LSD,High-Dose Pure Tabs 28ct,0.748725 BTC,USA
UltraVendor891,Digital/Hacking,Verified Fullz,0.845866 BTC,Netherlands
AlphaStore132,Drugs/Ecstasy/Pills,Lab MDMA Pressed Pills 25ct,2.264462 BTC,Poland
SpeedShop526,Drugs/Ecstasy/Pills,Verified Ecstasy Tabs 14ct,3.466817 BTC,Belgium
PureVendor480,Drugs/Stimulants/Meth,Ice Verified Crystal 100g,2.018969 BTC,Europe
QuickKing639,Drugs/Stimulants/Speed,Crystal Quality Speed 500g,2.310954 BTC,Europe
QuickSource60,Drugs/Ecstasy/MDMA,Crystal Verified MDMA 25g,2.572968 BTC,Switzerland
PureVendor480,Digital/Hacking,Compromised Lab Database,2.834444 BTC,Czech Republic
QuickDealer552,Drugs/Psychedelics/LSD,Premium Liquid LSD 100ml,7.628845 BTC,Netherlands
UltraVendor891,Drugs/Ecstasy/MDMA,Crystal Lab MDMA 25g,5.111856 BTC,Czech Republic
SpeedShop481,Drugs/Cannabis/Hash,Premium Premium Product 500g,0.10679 BTC,Poland
AlphaStore132,Drugs/Cannabis/Edibles,Tested Quantity 5g,0.222958 BTC,India
CryptoDealer638,Drugs/Prescription/Adderall,Verified Amphetamine Salts 50ct,3.407245 BTC,Europe
AlphaStore878,Drugs/Cannabis/Hash,Premium Pure Product 28g,1.578178 BTC,Poland
UltraVendor891,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 10g,0.84995 BTC,Worldwide
VenomLab714,Drugs/Psychedelics/LSD,Verified LSD Blotters 7ct,3.70333 BTC,China
ShadowVendor173,Drugs/Dissociatives/Ketamine,Verified K Powder 1g,3.323369 BTC,Australia
ShadowDealer416,Drugs/Ecstasy/MDMA,Crystal Tested MDMA 100g,3.285602 BTC,USA
PureStore440,Fraud/Documents,Fake Premium ID,2.643079 BTC,UK
SpeedMarket519,Drugs/Stimulants/Meth,Ice Tested Crystal 1g,3.846804 BTC,Czech Republic
SilentMarket189,Drugs/Opioids/Oxycodone,Authentic Quality Oxy 10ct,1.07243 BTC,USA
SilentMarket189,Drugs/Cannabis/Edibles,Quality Pure Items 100ct,5.409155 BTC,Worldwide
ShadowDealer416,Drugs/Stimulants/Meth,Premium Methamphetamine 10g,1.374219 BTC,Worldwide
AlphaVendor354,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 14g,6.47027 BTC,Australia
DeltaStore687,Drugs/Dissociatives/Ketamine,Research Grade Premium Ketamine 500g,3.90339 BTC,Europe
BlackExpert873,Digital/Hacking,Premium Fullz,0.852104 BTC,No Info
SilentVendor726,Drugs/Cannabis/Edibles,Quality Lab Items 25ct,2.501775 BTC,USA
StealthKing618,Drugs/Stimulants/Cocaine,Fishscale Pure Coke 14g,0.46136 BTC,Germany
BlueKing295,Drugs/Stimulants/Cocaine,High Purity Tested Cocaine 25g,1.235413 BTC,Europe
DarkBoss582,Drugs/Stimulants/Speed,Verified Speed Paste 1g,6.307197 BTC,India
DarkShop818,Fraud/Documents,Tested License Replica,1.032529 BTC,Australia
PharmaDirect770,Drugs/Cannabis/Weed,Quality Tested Items 1ct,0.767948 BTC,Germany
SwiftExpert794,Drugs/Ecstasy/MDMA,Quality Ecstasy Crystals 10g,2.846757 BTC,France
DeltaMarket608,Drugs/Psychedelics/DMT,Crystal Pure DMT 25g,1.287788 BTC,USA/Europe
SwiftExpert794,Drugs/Stimulants/Meth,Ice Quality Crystal 7g,4.069269 BTC,China
PharmaExpert186,Drugs/Psychedelics/LSD,Grade-A LSD Blotters 7ct,3.297287 BTC,UK
BlackMarket588,Fraud/Documents,Tested License Replica,3.303339 BTC,Germany
PharmaSource313,Fraud/Documents,Fake Premium ID,0.788631 BTC,No Info
AlphaDealer746,Drugs/Cannabis/Weed,Lab Quantity 28g,0.646816 BTC,Switzerland
SpeedShop481,Drugs/Prescription/Tramadol,Generic Verified Ultram 5ct,0.163002 BTC,France
GhostLab755,Drugs/Psychedelics/DMT,Crystal Pure DMT 7g,0.935782 BTC,China
SilentMaster997,Drugs/Prescription/Xanax,Verified Benzo 5ct,1.201862 BTC,Netherlands
PureStore440,Fraud/Documents,Lab License Replica,2.116648 BTC,USA/Europe
KingLab317,Drugs/Cannabis/Edibles,Lab Quantity 1g,1.414587 BTC,Switzerland
SilentBoss239,Drugs/Ecstasy/MDMA,Crystal Quality MDMA 50g,8.013744 BTC,Europe
SilentMaster955,Drugs/Ecstasy/Pills,Blue Premium Press 250ct,1.64124 BTC,Switzerland
PureVendor480,Drugs/Cannabis/Hash,Quality Quality Items 28ct,3.575248 BTC,India
KingBoss990,Drugs/Stimulants/Meth,Premium Grade-A Meth 25g,1.739461 BTC,Worldwide
SpeedShop526,Digital/Hacking,Verified Fullz,4.002819 BTC,Czech Republic
SilentMaster955,Drugs/Stimulants/Meth,Premium Pure Meth 500g,7.486904 BTC,Germany
CryptoDealer638,Drugs/Dissociatives/Ketamine,Research Grade Grade-A Ketamine 7g,4.727944 BTC,China
QuickSource60,Drugs/Cannabis/Hash,Grade-A Quantity 500g,5.229891 BTC,No Info
AlphaVendor354,Drugs/Cannabis/Weed,Quality Quantity 5g,2.026347 BTC,Belgium
PharmaDirect770,Drugs/Cannabis/Weed,Quality Grade-A Items 1ct,7.026958 BTC,Worldwide
DeltaMarket608,Drugs/Stimulants/Meth,Ice Quality Crystal 14g,3.798564 BTC,Worldwide
DarkShop818,Drugs/Prescription/Adderall,Pure Amphetamine Salts 28ct,4.254661 BTC,Czech Republic
AlphaVendor354,Drugs/Stimulants/Cocaine,Pure Blow 500g,0.884141 BTC,Europe
OmegaDirect105,Drugs/Psychedelics/LSD,Tested LSD Blotters 250ct,2.885637 BTC,India
StealthVendor191,Drugs/Stimulants/Meth,Grade-A Methamphetamine 28g,1.674244 BTC,Netherlands
BluePro475,Drugs/Cannabis/Hash,Premium Premium Product 2g,1.097649 BTC,Switzerland
GreenExpert605,Drugs/Cannabis/Hash,Quality Verified Items 5ct,5.493265 BTC,Europe
BlueKing295,Drugs/Stimulants/Cocaine,High Purity Tested Cocaine 500g,2.68924 BTC,Germany
SwiftKing346,Drugs/Stimulants/Cocaine,Pure Blow 10g,1.338243 BTC,Czech Republic
GhostLab755,Drugs/Ecstasy/Pills,Lab MDMA Pressed Pills 500ct,1.369439 BTC,UK
KingKing458,Drugs/Opioids/Fentanyl,Research Chemical Lab Fent 7g,3.774176 BTC,Switzerland
StealthKing618,Drugs/Ecstasy/Pills,Blue Verified Press 100ct,0.218393 BTC,Australia
NightLab646,Drugs/Opioids/Oxycodone,Authentic Quality Oxy 2ct,2.497106 BTC,USA
CryptoLab868,Drugs/Psychedelics/LSD,Premium Liquid LSD 100ml,2.612165 BTC,France
CryptoDirect666,Drugs/Prescription/Xanax,Authentic Verified Xanax 250ct,5.642045 BTC,Europe
RedLab835,Drugs/Prescription/Tramadol,Generic Verified Ultram 100ct,3.225042 BTC,France
VenomPro997,Drugs/Cannabis/Weed,Quality Lab Items 500ct,3.40713 BTC,Belgium
CryptoLab868,Digital/Hacking,Compromised Pure Database,2.502127 BTC,Canada
SilentPro922,Drugs/Opioids/Heroin,Brown Verified Dope 25g,2.249071 BTC,Belgium
OmegaDirect105,Drugs/Ecstasy/Pills,Blue Lab Press 5ct,4.499349 BTC,Worldwide
CryptoLab868,Digital/Hacking,Pure Fullz,2.540097 BTC,Worldwide
SpeedVendor287,Drugs/Stimulants/Speed,Lab Speed Paste 28g,1.906337 BTC,USA/Europe
CryptoDirect666,Drugs/Ecstasy/Pills,Pure MDMA Pressed Pills 50ct,2.302778 BTC,Europe
OmegaDirect105,Drugs/Cannabis/Hash,Premium Grade-A Product 5g,7.380501 BTC,Australia
BlueStore943,Drugs/Psychedelics/DMT,Extracted Quality DMT 500g,1.067454 BTC,Czech Republic
EliteDealer235,Drugs/Ecstasy/Pills,Lab Ecstasy Tabs 100ct,2.94705 BTC,China
VenomSource815,Drugs/Prescription/Adderall,Authentic Tested Adderall 500ct,5.551105 BTC,Canada
DarkExpert536,Drugs/Prescription/Adderall,Premium Amphetamine Salts 250ct,3.84235 BTC,India
PureVendor480,Drugs/Dissociatives/Ketamine,Grade-A K Powder 28g,3.226396 BTC,France
PureVendor480,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 5g,2.380562 BTC,Czech Republic
GhostLab755,Drugs/Prescription/Xanax,Authentic Pure Xanax 14ct,3.416125 BTC,China
QuickMaster491,Drugs/Stimulants/Meth,Grade-A Methamphetamine 7g,3.932955 BTC,Worldwide
SpeedMarket271,Drugs/Prescription/Xanax,Authentic Pure Xanax 5ct,3.274781 BTC,Switzerland
StealthKing618,Drugs/Cannabis/Hash,Quality Verified Items 50ct,5.494095 BTC,Australia
AlphaStore95,Fraud/Documents,Counterfeit Pure Passport,2.701161 BTC,France
SwiftDealer556,Drugs/Ecstasy/Pills,Lab MDMA Pressed Pills 14ct,0.886346 BTC,Czech Republic
SpeedMarket519,Drugs/Opioids/Oxycodone,Pure Percs 50ct,1.805399 BTC,Poland
BlackShop465,Drugs/Ecstasy/MDMA,Pure Ecstasy Crystals 50g,3.365196 BTC,Switzerland
EliteDealer235,Drugs/Opioids/Oxycodone,Quality Percs 100ct,1.982158 BTC,France
PureMarket224,Drugs/Opioids/Oxycodone,Grade-A Percs 25ct,0.248284 BTC,India
SpeedVendor287,Digital/Hacking,Hacked Lab Account,4.609332 BTC,No Info
KingBoss990,Drugs/Prescription/Xanax,Pure Benzo 25ct,1.502119 BTC,Germany
DeltaMarket543,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 7g,1.223564 BTC,Canada
SilentVendor726,Drugs/Ecstasy/Pills,Premium Ecstasy Tabs 14ct,1.528925 BTC,UK
PureVendor480,Drugs/Cannabis/Weed,Premium Tested Product 100g,3.868662 BTC,Australia
SilentVendor726,Drugs/Stimulants/Meth,Premium Methamphetamine 10g,0.250836 BTC,India
QuickKing639,Drugs/Prescription/Xanax,Authentic Lab Xanax 5ct,4.125972 BTC,Belgium
SpeedDealer285,Drugs/Cannabis/Hash,Premium Verified Product 28g,0.366085 BTC,Worldwide
KingDirect228,Drugs/Stimulants/Cocaine,Fishscale Lab Coke 500g,4.200393 BTC,Australia
SilentVendor726,Drugs/Stimulants/Cocaine,Lab Blow 14g,1.510568 BTC,Canada
SpeedMarket271,Digital/Hacking,Compromised Premium Database,2.53444 BTC,India
DarkShop818,Digital/Hacking,Tested Fullz,0.572943 BTC,Switzerland
StealthShop752,Drugs/Ecstasy/MDMA,Pure Verified Molly 14g,0.180308 BTC,Australia
SpeedVendor287,Drugs/Ecstasy/Pills,Lab MDMA Pressed Pills 14ct,4.679256 BTC,Worldwide
PharmaSource204,Drugs/Psychedelics/LSD,Tested LSD Blotters 7ct,1.23075 BTC,China
SwiftExpert794,Drugs/Ecstasy/Pills,Tested Ecstasy Tabs 7ct,2.766216 BTC,Czech Republic
AlphaStore95,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 100g,1.086499 BTC,UK
GhostLab755,Drugs/Psychedelics/LSD,High-Dose Lab Tabs 1ct,1.81627 BTC,Canada
KingLab317,Fraud/Documents,Fake Premium ID,3.157174 BTC,France
AlphaDealer746,Drugs/Stimulants/Cocaine,Lab Blow 100g,1.503923 BTC,France
PharmaExpert186,Drugs/Cannabis/Weed,Quality Grade-A Items 25ct,1.323649 BTC,No Info
RedLab835,Drugs/Cannabis/Edibles,Quality Grade-A Items 2ct,3.618197 BTC,USA
GreenMarket125,Drugs/Stimulants/Speed,Grade-A Speed Paste 28g,1.533766 BTC,Belgium
KingLab317,Drugs/Stimulants/Speed,Quality Pure Amphetamine 7g,4.179761 BTC,Europe
SilentMarket189,Drugs/Psychedelics/LSD,Grade-A Liquid LSD 14ml,7.574728 BTC,Switzerland
SwiftStore705,Drugs/Prescription/Adderall,Verified Amphetamine Salts 5ct,1.777368 BTC,UK
RedMarket810,Drugs/Psychedelics/DMT,Verified Spice 5g,2.71262 BTC,Belgium
PureMarket224,Drugs/Psychedelics/LSD,High-Dose Verified Tabs 100ct,2.9766 BTC,Canada
StealthPro162,Drugs/Stimulants/Speed,Pure Speed Paste 500g,2.671305 BTC,Poland
PureStore440,Drugs/Prescription/Xanax,Authentic Tested Xanax 50ct,1.695155 BTC,Worldwide
KingBoss990,Drugs/Psychedelics/DMT,Crystal Tested DMT 1g,1.766318 BTC,USA/Europe
VenomMarket709,Drugs/Opioids/Fentanyl,Premium Fentanyl Powder 2g,2.242029 BTC,India
EliteMaster689,Drugs/Cannabis/Hash,Quality Lab Items 25ct,0.328346 BTC,France
DarkShop818,Drugs/Ecstasy/Pills,Blue Lab Press 28ct,4.492691 BTC,Canada
SecureBoss844,Drugs/Ecstasy/Pills,Blue Lab Press 25ct,1.284012 BTC,USA
SilentVendor726,Drugs/Ecstasy/MDMA,Verified Ecstasy Crystals 25g,1.256759 BTC,Germany
UltraVendor891,Drugs/Psychedelics/Mushrooms,Lab Cubensis 14g,2.788557 BTC,China
GreenExpert605,Fraud/Documents,Fake Premium ID,2.521639 BTC,Czech Republic
NightLab646,Drugs/Opioids/Fentanyl,Research Chemical Pure Fent 1g,2.50971 BTC,Switzerland
CryptoDirect666,Drugs/Opioids/Oxycodone,Verified Percs 10ct,0.592787 BTC,Australia
SpeedDealer285,Drugs/Stimulants/Meth,Premium Quality Meth 14g,0.657199 BTC,Germany
AlphaMaster277,Drugs/Cannabis/Edibles,Quality Lab Items 28ct,3.283344 BTC,UK
SpeedDealer285,Drugs/Opioids/Fentanyl,Grade-A Fentanyl Powder 500g,1.359573 BTC,Poland
UltraVendor891,Drugs/Prescription/Tramadol,Generic Grade-A Ultram 500ct,2.473398 BTC,France
EliteDealer235,Drugs/Prescription/Adderall,Authentic Verified Adderall 28ct,1.552252 BTC,Europe
UltraVendor891,Drugs/Cannabis/Edibles,Premium Tested Product 500g,2.749122 BTC,USA
KingKing458,Drugs/Opioids/Fentanyl,Lab Fentanyl Powder 14g,0.306676 BTC,Worldwide
NightLab646,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 100g,3.10513 BTC,Netherlands
SecureBoss844,Drugs/Cannabis/Weed,Quality Tested Items 28ct,2.985865 BTC,USA/Europe
AlphaDealer746,Drugs/Ecstasy/Pills,Pure Ecstasy Tabs 500ct,4.324168 BTC,UK
EliteMaster689,Drugs/Stimulants/Speed,Crystal Tested Speed 500g,5.044354 BTC,Belgium
QuickSource60,Fraud/Documents,Fake Verified ID,0.142669 BTC,Australia
SpeedShop481,Drugs/Opioids/Fentanyl,Tested Fentanyl Powder 50g,2.725075 BTC,Poland
PharmaDirect647,Drugs/Prescription/Xanax,Pressed Verified Xanax 10ct,4.212428 BTC,Spain
StealthPro162,Drugs/Stimulants/Cocaine,Lab Blow 2g,3.455095 BTC,Switzerland
AlphaVendor354,Drugs/Stimulants/Speed,Quality Tested Amphetamine 2g,2.411004 BTC,Australia
QuickPro135,Drugs/Psychedelics/Mushrooms,Dried Grade-A Shrooms 100g,0.398598 BTC,UK
KingLab317,Drugs/Ecstasy/MDMA,Grade-A Ecstasy Crystals 2g,6.348158 BTC,Netherlands
SpeedMarket519,Drugs/Stimulants/Speed,Crystal Premium Speed 25g,3.699513 BTC,Belgium
VenomMarket709,Drugs/Ecstasy/MDMA,Pure Lab Molly 14g,1.114809 BTC,France
AlphaDirect701,Drugs/Stimulants/Meth,Pure Methamphetamine 100g,4.473317 BTC,India
SilentBoss239,Drugs/Psychedelics/LSD,Lab LSD Blotters 500ct,2.382777 BTC,Worldwide
SecureBoss844,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 2g,1.763315 BTC,China
BlackBoss982,Drugs/Prescription/Adderall,Authentic Grade-A Adderall 7ct,4.645468 BTC,Germany
RedLab835,Drugs/Stimulants/Speed,Grade-A Speed Paste 28g,2.539588 BTC,India
SilentMarket838,Drugs/Ecstasy/MDMA,Crystal Pure MDMA 25g,0.150028 BTC,No Info
GreenExpert605,Drugs/Psychedelics/Mushrooms,Dried Tested Shrooms 250g,0.701185 BTC,USA
OmegaDirect105,Drugs/Stimulants/Meth,Premium Verified Meth 500g,0.22015 BTC,Switzerland
QuickMaster491,Drugs/Prescription/Adderall,Tested Amphetamine Salts 10ct,3.355742 BTC,China
QuickMaster491,Drugs/Prescription/Tramadol,Grade-A Tramadol 100ct,0.924261 BTC,Spain
EliteDealer235,Drugs/Psychedelics/LSD,Lab Liquid LSD 2ml,7.527496 BTC,Worldwide
SpeedShop526,Drugs/Prescription/Xanax,Pressed Pure Xanax 2ct,2.517263 BTC,Czech Republic
AlphaDealer746,Fraud/Documents,Counterfeit Lab Passport,3.249541 BTC,UK
StealthShop752,Drugs/Ecstasy/MDMA,Crystal Premium MDMA 25g,4.365553 BTC,Czech Republic
BlueKing295,Drugs/Prescription/Xanax,Tested Benzo 2ct,2.804061 BTC,China
SilentBoss239,Drugs/Opioids/Heroin,Brown Lab Dope 7g,1.72843 BTC,Czech Republic
DarkShop818,Drugs/Cannabis/Hash,Premium Grade-A Product 100g,5.873513 BTC,Czech Republic
RedLab835,Digital/Hacking,Compromised Lab Database,0.429671 BTC,Spain
SpeedShop481,Drugs/Cannabis/Edibles,Quality Premium Items 1ct,1.947284 BTC,Poland
OmegaDirect105,Drugs/Cannabis/Weed,Quality Verified Items 14ct,0.629963 BTC,Belgium
OmegaDirect105,Drugs/Cannabis/Hash,Quality Premium Items 2ct,2.68402 BTC,Australia
KingBoss990,Drugs/Opioids/Heroin,Tested Heroin 50g,0.872464 BTC,USA/Europe
DeltaStore687,Drugs/Ecstasy/Pills,Verified MDMA Pressed Pills 7ct,2.87082 BTC,Australia
QuickDealer552,Drugs/Stimulants/Cocaine,Fishscale Grade-A Coke 100g,1.53082 BTC,Belgium
SilentMarket838,Drugs/Cannabis/Hash,Premium Quantity 2g,1.439293 BTC,India
BlackShop465,Drugs/Prescription/Adderall,Authentic Premium Adderall 7ct,0.13025 BTC,China
VenomLab714,Drugs/Cannabis/Hash,Quality Lab Items 500ct,2.712069 BTC,USA/Europe
VenomLab764,Drugs/Prescription/Tramadol,Generic Pure Ultram 10ct,4.232868 BTC,Poland
SpeedMarket519,Drugs/Prescription/Tramadol,Grade-A Tramadol 500ct,1.590219 BTC,India
StealthPro162,Drugs/Psychedelics/Mushrooms,Psilocybin Quality Mushrooms 50g,4.447442 BTC,Europe
UltraVendor891,Fraud/Documents,Counterfeit Lab Passport,0.577081 BTC,Europe
OmegaDirect105,Drugs/Stimulants/Speed,Quality Pure Amphetamine 7g,3.464224 BTC,No Info
UltraMarket470,Drugs/Prescription/Tramadol,Generic Lab Ultram 500ct,3.391096 BTC,China
BlackShop465,Drugs/Prescription/Xanax,Lab Benzo 50ct,2.201765 BTC,Worldwide
ShadowVendor173,Drugs/Stimulants/Speed,Grade-A Speed Paste 500g,1.742557 BTC,China
StealthKing618,Digital/Hacking,Hacked Tested Account,2.616466 BTC,Worldwide
UltraKing555,Drugs/Dissociatives/Ketamine,Research Grade Premium Ketamine 100g,2.917955 BTC,Netherlands
StealthKing618,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 28g,0.912987 BTC,Canada
QuickKing639,Drugs/Prescription/Tramadol,Verified Tramadol 100ct,3.955312 BTC,Canada
VenomPro997,Drugs/Psychedelics/Mushrooms,Dried Premium Shrooms 500g,3.063441 BTC,Germany
KingDirect228,Drugs/Opioids/Oxycodone,Premium Percs 50ct,2.90258 BTC,Poland
SilentBoss239,Drugs/Ecstasy/MDMA,Tested Ecstasy Crystals 50g,3.173173 BTC,USA
SwiftKing346,Drugs/Dissociatives/Ketamine,Verified K Powder 250g,2.21123 BTC,USA/Europe
GreenMarket125,Fraud/Documents,Counterfeit Grade-A Passport,2.296593 BTC,China
VenomVendor269,Fraud/Documents,Tested License Replica,1.191656 BTC,Czech Republic
UltraLab620,Drugs/Psychedelics/DMT,Extracted Quality DMT 10g,2.417136 BTC,UK
SilentMarket838,Drugs/Opioids/Heroin,High Quality Pure Heroin 10g,0.97006 BTC,Belgium
OmegaKing43,Drugs/Stimulants/Meth,Premium Verified Meth 500g,2.983919 BTC,Europe
AlphaStore354,Drugs/Prescription/Xanax,Pure Benzo 250ct,6.964819 BTC,India
AlphaKing870,Drugs/Cannabis/Hash,Premium Quantity 2g,5.275952 BTC,France
PharmaExpert186,Fraud/Documents,Fake Tested ID,1.366978 BTC,Australia
SilentMarket838,Drugs/Opioids/Heroin,High Quality Verified Heroin 500g,2.765617 BTC,Switzerland
DarkBoss582,Drugs/Cannabis/Edibles,Premium Quantity 10g,0.165458 BTC,Switzerland
SecureBoss844,Digital/Hacking,Compromised Pure Database,5.553069 BTC,Netherlands
BlackBoss982,Digital/Hacking,Lab Fullz,2.699166 BTC,USA
SilentVendor726,Drugs/Psychedelics/Mushrooms,Pure Cubensis 5g,4.450051 BTC,UK
BlackShop465,Drugs/Prescription/Xanax,Pressed Tested Xanax 5ct,0.077776 BTC,Europe
SilentMaster955,Drugs/Prescription/Adderall,Authentic Quality Adderall 250ct,4.906264 BTC,Poland
ShadowDealer416,Drugs/Psychedelics/LSD,High-Dose Grade-A Tabs 50ct,7.221092 BTC,Netherlands
SpeedShop481,Drugs/Ecstasy/Pills,Blue Lab Press 5ct,5.676933 BTC,UK
StealthPro162,Drugs/Stimulants/Speed,Crystal Grade-A Speed 14g,2.046399 BTC,Spain
KingDirect228,Drugs/Opioids/Oxycodone,Quality Percs 250ct,0.851798 BTC,Poland
GreenMarket125,Drugs/Prescription/Tramadol,Quality Tramadol 1ct,2.227441 BTC,Canada
SpeedShop481,Drugs/Psychedelics/Mushrooms,Dried Lab Shrooms 500g,1.635896 BTC,USA
SilentMaster997,Drugs/Dissociatives/Ketamine,Research Grade Pure Ketamine 500g,6.062685 BTC,UK
VenomPro997,Drugs/Psychedelics/Mushrooms,Psilocybin Quality Mushrooms 25g,3.128997 BTC,Germany
UltraKing555,Digital/Hacking,Compromised Lab Database,3.282574 BTC,India
QuickPro135,Drugs/Cannabis/Edibles,Quality Tested Items 25ct,0.951926 BTC,No Info
BlueStore943,Drugs/Ecstasy/Pills,Pure Ecstasy Tabs 100ct,0.784657 BTC,China
KingLab317,Drugs/Cannabis/Weed,Quality Verified Items 14ct,1.655287 BTC,Worldwide
QuickMaster491,Drugs/Prescription/Adderall,Authentic Premium Adderall 25ct,2.236996 BTC,USA
QuickKing639,Drugs/Ecstasy/Pills,Quality MDMA Pressed Pills 50ct,4.265921 BTC,India
PharmaSource313,Drugs/Cannabis/Hash,Quality Pure Items 5ct,1.887298 BTC,USA
ShadowVendor173,Drugs/Stimulants/Speed,Quality Speed Paste 250g,1.750762 BTC,UK
PharmaDirect647,Drugs/Cannabis/Edibles,Quality Lab Items 250ct,2.847596 BTC,Switzerland
SpeedShop481,Drugs/Prescription/Adderall,Authentic Tested Adderall 7ct,3.511131 BTC,Czech Republic
SwiftDealer556,Drugs/Ecstasy/MDMA,Pure Tested Molly 500g,3.176951 BTC,France
AlphaMaster277,Drugs/Stimulants/Meth,Premium Premium Meth 50g,2.3303 BTC,Belgium
KingDirect228,Drugs/Prescription/Xanax,Pressed Quality Xanax 500ct,3.854181 BTC,UK
SilentMaster955,Drugs/Stimulants/Meth,Ice Premium Crystal 50g,2.924335 BTC,India
EliteMaster689,Drugs/Prescription/Adderall,Authentic Pure Adderall 2ct,1.519527 BTC,France
PureMarket96,Drugs/Prescription/Adderall,Quality Amphetamine Salts 100ct,4.165171 BTC,Belgium
AlphaStore132,Drugs/Prescription/Xanax,Pure Benzo 28ct,8.23524 BTC,Spain
UltraLab266,Drugs/Stimulants/Speed,Quality Grade-A Amphetamine 2g,1.785849 BTC,Poland
SwiftStore884,Drugs/Ecstasy/MDMA,Pure Grade-A Molly 28g,5.615547 BTC,Worldwide
QuickMaster491,Drugs/Cannabis/Hash,Premium Grade-A Product 50g,2.180396 BTC,USA
SpeedVendor287,Drugs/Psychedelics/DMT,Grade-A Spice 2g,5.042474 BTC,Belgium
AlphaMaster277,Drugs/Cannabis/Weed,Premium Quantity 10g,4.935408 BTC,France
AlphaVendor354,Drugs/Stimulants/Meth,Ice Grade-A Crystal 50g,2.492156 BTC,USA/Europe
OmegaKing43,Drugs/Cannabis/Weed,Premium Premium Product 28g,3.573123 BTC,Australia
VenomLab714,Drugs/Ecstasy/Pills,Premium MDMA Pressed Pills 100ct,1.470204 BTC,India
OmegaDirect105,Drugs/Opioids/Oxycodone,Grade-A Percs 1ct,0.555396 BTC,No Info
StealthVendor191,Drugs/Cannabis/Hash,Pure Quantity 14g,1.422265 BTC,No Info
BlueKing295,Drugs/Ecstasy/Pills,Pure MDMA Pressed Pills 5ct,1.720794 BTC,Australia
KingDirect228,Drugs/Ecstasy/Pills,Blue Lab Press 2ct,4.56053 BTC,Netherlands
VenomSource815,Drugs/Cannabis/Weed,Quality Grade-A Items 250ct,3.287957 BTC,Worldwide
VenomVendor269,Fraud/Documents,Fake Premium ID,0.58208 BTC,Spain
DeltaMarket543,Drugs/Opioids/Fentanyl,Quality Fentanyl Powder 250g,0.037236 BTC,Netherlands
GreenExpert605,Drugs/Ecstasy/Pills,Grade-A MDMA Pressed Pills 28ct,2.93697 BTC,Netherlands
SilentMaster997,Drugs/Cannabis/Weed,Quality Quantity 25g,1.860233 BTC,Australia
SwiftExpert794,Drugs/Opioids/Heroin,Brown Quality Dope 28g,0.283393 BTC,Germany
VenomMarket709,Drugs/Stimulants/Meth,Pure Methamphetamine 25g,1.612531 BTC,Poland
QuickDirect928,Digital/Hacking,Hacked Pure Account,2.197971 BTC,Poland
QuickDealer552,Drugs/Ecstasy/Pills,Verified Ecstasy Tabs 10ct,2.375695 BTC,UK
BlackMarket588,Drugs/Ecstasy/Pills,Quality Ecstasy Tabs 10ct,5.515061 BTC,Switzerland
DarkExpert536,Drugs/Stimulants/Cocaine,High Purity Pure Cocaine 1g,5.124331 BTC,Australia
QuickDirect928,Drugs/Cannabis/Edibles,Quality Quantity 2g,3.978437 BTC,Australia
AlphaStore354,Drugs/Cannabis/Edibles,Lab Quantity 7g,4.99816 BTC,India
GreenMarket125,Drugs/Cannabis/Edibles,Quality Premium Items 2ct,0.019929 BTC,Australia
SilentPro922,Drugs/Dissociatives/Ketamine,Research Grade Pure Ketamine 10g,2.735309 BTC,Germany
BlueStore943,Drugs/Psychedelics/LSD,Grade-A LSD Blotters 14ct,1.047106 BTC,Switzerland
PureMarket96,Drugs/Psychedelics/LSD,Tested LSD Blotters 1ct,0.631562 BTC,Spain
SecureBoss844,Drugs/Prescription/Adderall,Premium Amphetamine Salts 28ct,0.483321 BTC,Switzerland
UltraLab620,Drugs/Cannabis/Edibles,Quality Quality Items 250ct,2.329878 BTC,Worldwide
